team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year,barthag_z,adj_o_z,adj_d_z,adj_t_z,wab_z
USC,P10,6,0.894514,109.398,90.8402,67.3826,3.6255466297608,2008,0.2737128250254031,-0.8856971486898491,-1.0398780129840541,0.1440035143897322,0.19005899533563153
Indiana,B10,8,0.892641,114.083,94.8934,68.4447,4.7532137400071,2008,0.7500560975921089,0.5139580978631165,0.007471949082214623,0.31553338941030745,1.9143318467689936
Mississippi St.,SEC,8,0.873414,107.764,91.1026,68.5453,0.57122200708574,2008,0.14395663463683597,-1.1208045530301152,-1.1113429784039082,0.3503476528220282,-1.1820881424156944
BYU,MWC,8,0.867497,105.934,89.9655,70.1702,2.5206804050297,2008,-0.04256703116159268,-1.5942363699528261,-1.4469461371156462,0.9126706808310225,0.2613250293413207
Miami FL,ACC,7,0.861974,111.547,95.122,67.7082,1.6009898099513,2008,-0.21333225735851946,-0.3266518655200468,-0.008305281636170513,0.4423363700587822,-0.9124090199809549
Arkansas,SEC,9,0.861051,110.791,94.5411,68.5705,0.53688028117371,2008,0.07654802517482394,-0.059599103640855765,-0.029657533401107015,0.6050642495863887,-0.8971611006953226
Baylor,B12,11,0.850871,115.908,99.6201,71.6529,1.5000137385525,2008,0.3368513689994006,1.1566301654631475,0.9947888382637875,1.701868802162418,0.8282976698156475
Oregon,P10,9,0.849656,118.033,101.531,68.024,0.78926835811431,2008,-0.23202164613800913,2.0214843513594496,2.244401184461917,0.39608516066585503,-0.6858861626732078
UNLV,MWC,8,0.843441,108.847,94.0194,66.2402,2.2164569674484,2008,-0.8008927544076544,-0.8406260515397898,-0.2504799994834878,-0.4473696293882823,0.03607266313274995
Saint Mary's,WCC,10,0.839241,107.405,93.0284,68.3691,1.2068702516874,2008,-0.34983464497751826,-0.8782993882810871,-0.619419523027737,0.3829222701574288,-0.1471414287696273
Villanova,BE,12,0.838003,107.856,93.4936,69.4246,0.34324906580903,2008,0.6899099407432234,-0.42466982704730366,-0.9160027976386093,0.9680998990376608,-0.06720219462635585
Oklahoma,B12,6,0.835223,107.446,93.3025,65.1238,2.8016470146396,2008,-1.3563109736023473,-1.4002807509963329,-0.2489762807360918,-0.7153570588346262,-0.4956541984720137
Western Kentucky,SB,12,0.828326,109.649,95.6251,69.6402,0.21957840186139,2008,0.5394186137491681,0.07129190589113438,-0.35140153899537646,1.0365892756088362,-0.1527653737751073
Saint Joseph's,A10,11,0.827382,113.772,99.2777,65.359,-1.2407198643454,2008,-0.1238254649469889,0.6382565441360526,0.8957216216917513,-0.5736289141559269,-1.5240313960614227
Vanderbilt,SEC,4,0.81754,111.371,97.7537,70.3921,3.7710450624762,2008,-2.913064196188905,-0.7333282280585046,1.3247090996344049,0.8954259190283533,-0.8909228351120739
Kent St.,MAC,9,0.804361,105.946,93.6902,66.5588,2.3170082039884,2008,-1.4585827046825208,-1.4518732460706363,-0.3064850363739158,-0.16420058697617249,0.5929901818972557
Temple,A10,12,0.792785,111.173,98.9297,65.5542,-1.7060290766385,2008,-0.013295269964348357,0.4928455483887236,0.5239356973698223,-0.2614051245295164,-1.4850222922211715
Kentucky,SEC,11,0.79202,106.598,94.8966,64.2905,-1.0868683107122,2008,-0.8173609156691211,-1.1027604780552345,-0.371870032875275,-0.9599345926519547,-1.391982998121886
South Alabama,SB,10,0.768567,110.453,99.5063,66.6695,-0.25312717562716,2008,-2.1488618404386997,-0.22463457735635697,1.0837182422654636,-0.22959161548516618,-1.6250367163334365
Oral Roberts,Sum,13,0.74898,102.101,92.842,65.6947,-0.94131836066567,2008,0.38130128096408916,-1.283496396165858,-1.4770808252606358,-0.5121724264620081,0.387527911165208
George Mason,CAA,12,0.738029,107.954,98.6558,63.7197,-3.5718041632755,2008,-0.8648301569010475,-0.39756204688669783,0.45138383964409867,-0.8441683959572691,-2.7758833816124957
Georgia,SEC,14,0.728125,103.152,94.684,66.6183,-3.8508139842984,2008,0.8244073064820886,-0.7809193143269457,-1.5498063600024663,-0.409546987399598,-0.580870444706013
Siena,MAAC,13,0.700836,106.792,99.1722,69.1547,-3.7773953228407,2008,-0.2614322289736282,-0.08195265960984256,0.20321817836582862,0.5796026873188234,-1.2545004330078007
Cal St. Fullerton,BW,14,0.68791,109.056,101.813,74.1409,-3.2196384160988,2008,0.31881547953552036,0.6224850081611882,0.47412919750093757,1.8040876696910493,-0.2598711615371688
Winthrop,BSth,13,0.660799,96.3019,90.8764,63.5074,-4.2482544049297,2008,-0.7959354181015861,-2.768866739943727,-1.9988330165860548,-1.2023573126969236,-1.5271178440347821
San Diego,WCC,13,0.66015,99.9764,94.3676,65.2658,-3.9204553525358,2008,-0.8045997178679035,-1.8276873624175978,-1.0721229787577564,-0.6475083646991746,-1.337329152683106
Portland St.,BSky,16,0.631123,106.734,101.865,68.0653,-3.3851814696506,2008,1.9238454490713375,1.3007941354059356,-0.4926680821739781,0.13598086566172796,1.5879807014869505
Cornell,Ivy,14,0.597309,107.384,103.765,69.8007,-1.2443651176192,2008,-0.8202402238882283,0.22504394664354646,1.0283054085048144,0.5269205813565875,0.744700854270004
Boise St.,WAC,14,0.592958,105.758,102.354,72.9166,-2.3845832966006,2008,-0.8749419530699892,-0.1614627316026788,0.6277200428662532,1.443819556182943,0.16481589586906473
UMBC,AE,15,0.566558,110.215,107.678,66.0408,-2.9645976484426,2008,0.004750082680314263,1.6737234029229702,1.81214715224242,-0.4384430581883182,1.0135901917381533
Belmont,ASun,15,0.548665,105.712,103.932,71.2268,-3.497610162955,2008,-0.21329309176520725,0.44726907357317564,0.6927366196281941,1.2874844765814668,0.6781746850969382
American,Pat,15,0.520788,105.259,104.5,62.6737,-5.8151788969021,2008,-0.5530007748825029,0.3238882582954806,0.8624710516957004,-1.5590312961989938,-0.7802310181609383
Austin Peay,OVC,15,0.482531,102.173,102.796,67.2084,-5.2507533960307,2008,-1.0191986022318744,-0.516626523044396,0.3532677554931814,-0.04985975899873241,-0.4250478654554351
Mount St. Mary's,NEC,16,0.467947,98.9945,100.106,67.6103,-9.4603695916903,2008,0.5028985496002523,-0.35188778964335565,-0.8801097091951837,-0.02757745801573608,-0.5521520830010358
UT Arlington,Slnd,16,0.419619,100.095,102.958,70.348,-7.007981007976,2008,0.08205527756491256,-0.11688857024717485,-0.25192123832282465,0.9565403941420564,0.31176144574561127
Coppin St.,MEAC,16,0.16949,91.5004,105.061,63.8543,-12.980561723081,2008,-2.0960838300109756,-1.952167344461097,0.2112906670925241,-1.377742433252123,-1.7922253839009752
Mississippi Valley St.,SWAC,16,0.145642,89.7469,104.673,64.9231,-9.982872451616,2008,-2.3037537180986014,-2.3266072637806836,0.1258288414619216,-0.9935421335895412,-0.7362164243930334
Memphis,CUSA,2,0.967966,111.794,83.1187,67.9594,6.9491495452303,2009,1.848196324807814,-1.4208732792005565,-2.4491726385709,0.15442047156981772,-0.5744535895377787
Connecticut,BE,1,0.96755,115.424,85.9176,68.5192,8.7395059546033,2009,0.5841667876636771,-1.042836280431909,-1.4867476319103996,0.1511311412239482,-0.3795138007613047
North Carolina,ACC,1,0.967424,123.064,91.6363,74.2853,7.6537570329365,2009,0.5759107387537717,0.9636450495798716,0.43493714259043326,1.663771709313131,-1.0603971852080711
Louisville,BE,1,0.957685,112.014,85.4023,68.2497,8.0314165283698,2009,-0.06222942262339548,-1.938399282439789,-1.6599065953636791,0.08043229224456447,-0.8235633553164161
Pittsburgh,BE,1,0.957074,120.732,92.1692,66.2482,8.5717133015672,2009,-0.10226470741664627,0.35119551272287325,0.6140103264139399,-0.44462799062089153,-0.4847381553101759
Missouri,B12,3,0.94745,116.313,90.4504,71.8811,6.0660283148939,2009,1.102469579424016,0.21964815380194921,-0.6361934186592662,1.6149853660561364,0.024092913333496415
Kansas,B12,3,0.940896,113.617,89.3161,68.1967,5.4051536262817,2009,0.8466928644797229,-0.3959359856173515,-0.9222884533134242,0.30537493861728193,-0.4817024482400829
UCLA,P10,6,0.940623,119.368,93.8767,66.6879,4.5409055335598,2009,1.5413380519726108,1.7425807790743149,-0.06454068204511836,-0.12029513543272277,0.951891706365535
Michigan St.,B10,2,0.940211,113.239,89.1136,67.8137,7.3609554427441,2009,0.01183878851237848,-1.0573606236348698,-0.8312093375316169,0.10969042821421662,-0.23396907385451482
West Virginia,BE,6,0.93997,114.359,90.0285,65.6298,3.8904021735013,2009,1.5233858241386402,0.4221149676228906,-1.300599669998095,-0.5228493334709257,0.4104923314638955
Gonzaga,WCC,4,0.938383,116.006,91.5461,68.9244,4.4176744728831,2009,0.8151384336083157,0.35514531632653495,-0.3631460829983726,0.49921534057548755,-0.388329651108956
Duke,ACC,2,0.938065,116.776,92.1979,68.2362,7.833867077348,2009,-0.13014727788610733,-0.16757220651665217,0.001212255721891598,0.2393983439159379,0.15703816970661907
Oklahoma,B12,2,0.936944,117.864,93.2113,68.167,7.3524784986166,2009,-0.20431614108867466,0.10613144002692436,0.27471873777717076,0.21815387582940896,-0.240977881239623
Villanova,BE,3,0.936158,113.855,90.1447,68.699,5.9841730221669,2009,0.6617874516927186,-0.34159287538671596,-0.7132975816618025,0.4839161713017151,-0.038554405583356176
Syracuse,BE,3,0.933035,116.304,92.4933,71.2112,5.8840332706214,2009,0.5399091055268588,0.21759316223860578,-0.12092977915033355,1.3768711479090059,-0.11519559447077936
Arizona St.,P10,6,0.93153,117.199,93.3988,60.8353,4.768108117226,2009,1.2913539666827327,1.1707919299950305,-0.2180442916139384,-2.346917098799509,1.1409873272734055
Purdue,B10,5,0.927441,109.374,87.6369,67.6966,3.8974674776763,2009,0.9098235730683655,-0.8689385638451387,-1.4334707645898184,0.35909620723231983,-0.20089484392345888
Washington,P10,4,0.926629,111.807,89.68,73.4802,4.9533470712761,2009,0.4525084615732264,-0.6309389151454767,-0.8705413011681978,1.7290689573333877,0.028022269290315614
Marquette,BE,6,0.914741,116.462,94.7481,69.1981,3.409092841635,2009,0.8297920170586545,0.9765049858864874,0.2153568809979187,0.8347105803932859,0.00990935617641015
BYU,MWC,8,0.90843,113.017,92.5737,70.0837,2.2505238896126,2009,1.2477782810112992,0.23817759685786435,-0.6771632169222047,0.8827359513567297,0.061296409494759035
Xavier,A10,4,0.903339,109.053,89.7916,67.2245,2.7753502958156,2009,-0.26602582877025605,-1.2776824191878502,-0.8401971039934748,0.04032158687103207,-1.6648273235520465
Clemson,ACC,7,0.903261,115.834,95.3824,69.1815,2.6986357082078,2009,0.818906083808022,0.8170253844876614,0.07953774590481023,1.0034596374730453,0.008780972929505505
Texas,B12,7,0.902722,111.575,91.9246,66.4878,2.619367542886,2009,0.8054302568918323,-0.31918208175512436,-1.0869124101289795,-0.02246702066434012,-0.057744161238809114
USC,P10,10,0.899118,109.264,90.3375,65.0814,2.4855429518393,2009,1.174351779770325,-0.47962390156551327,-1.3268977818195489,-0.801922341414209,1.1472063026280082
Illinois,B10,5,0.897103,105.344,87.2634,63.8501,3.83595820754,2009,-0.2758272391263048,-1.7562883513626295,-1.5346087684272134,-0.9792553420451252,-0.2576287944922065
Wake Forest,ACC,4,0.893253,111.065,92.3315,73.6429,5.1087575854001,2009,-0.577195294309302,-0.8051886173965453,-0.14959471686012263,1.772990372550586,0.14881520549776736
Oklahoma St.,B12,8,0.890407,116.046,96.7204,70.5823,2.6938529094763,2009,0.6796329322391093,1.0217978009337647,0.5466918690244806,1.0552845769738697,0.3895449873399106
Wisconsin,B10,12,0.881254,111.531,93.6922,60.4371,0.33090519535748,2009,1.3625254604104593,0.5918719289754286,-0.86339674088677,-1.8869477444384637,-0.07574246412213635
Tennessee,SEC,9,0.877425,114.417,96.4182,69.4222,1.2085741306897,2009,0.51994598902531175,0.9823794392797618,0.5810286880470791,0.9307504161620922,-0.3348838404278904
Utah,MWC,5,0.877022,109.428,92.2442,66.0009,2.663448485871,2009,-1.0606203685244593,-0.8570485170645068,-0.18588542301006103,-0.23090580033553745,-1.3391098207365302
California,P10,7,0.871236,116.05,98.2744,67.4189,3.2440253140299,2009,0.018231952099288278,0.8746494306741922,1.0551216001617683,0.33215313428673754,0.4664945651897444
Ohio St.,B10,8,0.868161,112.001,95.0698,64.0717,3.218376272899,2009,-0.021635526329726033,-0.024667608603048504,0.059534562042157894,-1.1978142636657787,0.7779112804893891
Florida St.,ACC,5,0.861227,105.007,89.5938,67.1549,4.9836524237767,2009,-1.6779107165571192,-1.8304910507158265,-0.903572612757416,0.1706170614521044,0.8009632971994095
Arizona,P10,12,0.860972,117.724,100.463,65.6669,0.75215744898835,2009,1.0471110660637177,2.304917669124751,0.9300830630173316,-0.22560385950367276,0.2157064607376322
Michigan,B10,10,0.852793,110.58,94.9155,64.3854,0.86803989816118,2009,-0.004864549144680993,-0.19739854356782757,-0.12327242645557847,-1.0527517509265907,-0.49012544599563224
Texas A&M,B12,9,0.852289,112.746,96.8078,65.1135,1.8550728147654,2009,-0.16072160712382,0.5021957257606343,0.70777918182802535,-0.7168766660554972,0.20630245911992356
LSU,SEC,8,0.851069,111.184,95.5472,66.6175,2.3774932997434,2009,-0.5604326356463913,-0.23603033779750676,0.20043417330676633,-0.316798838282493,0.1553067865237353
Minnesota,B10,10,0.848997,105.655,90.9242,65.9723,1.8452594038089,2009,-0.1014928315960872,-1.2535990664694983,-1.172645489117051,-0.48085348949670614,0.49907362743604883
Butler,Horz,9,0.841239,108.791,94.1065,63.8689,2.3784568320507,2009,-0.45994888821261276,-0.6343252718265239,-0.17104809961568473,-1.192805987318992,0.6444290424122945
Maryland,ACC,10,0.833895,109.579,95.2342,67.983,0.087760024573201,2009,-0.48591862758689947,-0.41206995949159975,-0.039481382166695424,0.24377681755293082,-1.2799706378995939
Temple,A10,11,0.825352,107.352,93.7912,64.9862,-0.53597982454452,2009,-0.16363873809234017,-0.9197765312010057,-0.6916974312360515,-0.708411091922252,-0.9191639701437312
Utah St.,WAC,11,0.818753,115.102,100.957,61.3526,2.4087032996049,2009,-0.2930612944894717,0.9610266360672495,1.3815965539038464,-2.0221034769322324,1.6082118008579798
VCU,CAA,11,0.816053,107.456,94.3994,67.3167,-2.3193574718895,2009,-0.34601490901777054,-0.8945373661176641,-0.5157258158180829,0.13415828920549042,-2.4498092947566037
Mississippi St.,SEC,13,0.803657,107.359,94.9767,68.5592,-1.6827376976108,2009,1.1112518484878633,0.06327763214612676,-0.9104424436863724,0.3916974618111687,-0.04173814276028038
