team,conf,seed,barthag,adj_o,adj_d,adj_t,wab,year,barthag_z,adj_o_z,adj_d_z,adj_t_z,wab_z
Washington,P10,11,0.902316,112.024,92.332,73.1777,1.1827913728052,2010,1.3458138502617742,0.2140444233121921,-1.1138904289636136,2.253145263155158,0.5560306422925573
Utah St.,WAC,12,0.902138,115.086,94.8725,61.8015,-0.39300591669503,2010,1.6873018242570892,1.5752204848014952,-0.5507535949441904,-1.453520539458345,-0.5765899100010164
Northern Iowa,MVC,9,0.900698,108.311,89.4129,60.2165,3.7275269315757,2010,1.1501646779646302,-0.7722595521910812,-1.6980401879376763,-2.5894669651293545,1.7737403201859812
Oklahoma St.,B12,7,0.900455,113.42,93.6531,67.5638,1.8059877473783,2010,0.7487517789344954,0.17302331275483998,-0.5038222676382633,0.38733996755106315,-0.7403662429569678
Georgia Tech,ACC,10,0.895276,108.804,90.2838,69.6399,1.3419684007502,2010,1.0765525539593919,-0.5782741026893228,-1.3410163230128764,0.8409021747671043,-0.010387134465321088
Florida St.,ACC,9,0.894414,103.496,85.9473,67.1222,2.8070135469244,2010,0.9799977789273486,-2.1559128020980807,-2.8255209662930287,0.051240984291586196,1.003175360667303
Tennessee,SEC,6,0.892839,108.393,90.1443,69.0395,3.8637245930928,2010,0.22766384857532715,-1.150633890656045,-1.263404193982045,0.7743712024433225,0.38828917888409775
UNLV,MWC,8,0.890896,110.47,92.0325,67.6778,0.95369443318285,2010,0.695047850707158,-0.42074635817062983,-0.8368927301530512,0.0501351924873617,-0.8988988534087176
Notre Dame,BE,6,0.890379,119.208,99.3583,64.6435,0.46705620432058,2010,0.16003371002775169,1.7004017952787023,1.6961736644969085,-0.8980872179100912,-2.4386818336315947
Pittsburgh,BE,3,0.889734,110.794,92.3983,62.3939,3.6446874954555,2010,-1.149957774821435,-1.0405183393193886,-0.14489083732907354,-1.757215276435969,-1.8290616655360927
UTEP,CUSA,12,0.888069,107.216,89.5454,69.3154,2.1476629798179,2010,1.468508553669164,-0.6017002280961601,-1.961819682168381,0.9334104745405708,1.1812053585845446
Gonzaga,WCC,8,0.879975,111.33,93.6215,69.3079,2.5206026810842,2010,0.3507813382541191,-0.19825927480804434,-0.36791601817261294,0.6142577649271814,0.2612674811695751
Vanderbilt,SEC,4,0.87891300000000006,113.111,95.2025,69.6019,3.2260871945324,2010,-1.0196075623868228,-0.3247103279010124,0.6310342265864101,0.6821087567380656,-1.3144917380870798
Old Dominion,CAA,11,0.876983,106.864,90.0857,63.5595,0.59771551738714,2010,0.8489716588375391,-1.0382064596689937,-1.7638165054407327,-1.2242204616089918,0.053869126489788706
Saint Mary's,WCC,10,0.869337,114.731,97.3001,67.5634,1.9412091518109,2010,0.416267775638263,0.6928122930950827,0.503674935362014,0.09255839768023495,0.5961996070865176
San Diego St.,MWC,11,0.864025,110.368,93.9751,64.1909,1.3471424478749,2010,0.5948335340013498,-0.18784074378409715,-0.6384893087839575,-0.9959439942225701,0.6970906163395868
Louisville,BE,9,0.860765,113.935,97.2444,67.351,-0.105161362365,2010,0.06880331907605496,0.843870432747016,0.8498204179285407,0.13873305299244076,-1.4346163960902094
New Mexico,MWC,3,0.860617,113.743,97.0903,68.3705,4.9063715296144,2010,-2.2862791982320134,-0.36716610373054653,1.0385332150356554,0.3671516980052075,-0.8634414908716628
Richmond,A10,7,0.854261,107.986,92.594,63.8155,2.5918824870575,2010,-0.40616909039113286,-1.2766482936230175,-0.861097807072408,-1.0402432424189976,-0.08081076078973548
Florida,SEC,10,0.847099,112.363,96.8206,65.6454,-0.048537306122157,2010,-0.1498069728217889,0.18497821426642239,0.3776071420249613,-0.5986640268093499,-1.4179388144002203
Cornell,Ivy,12,0.845315,116.748,100.72,65.6548,1.8675483065366,2010,0.8036221018448587,2.0349463075252454,0.9981583731141241,-0.22944765104593387,0.987404329244965
Wake Forest,ACC,9,0.841798,106.639,92.2115,70.0497,1.0404276025961,2010,-0.44481150811047143,-1.252730628794303,-0.7875578165430253,1.1707035329006754,-0.4756398845811569
Siena,MAAC,13,0.797383,107.54,95.4621,70.7726,0.90500067986656,2010,1.0274925006698747,0.10963862475253322,-0.7815970460116849,1.0901179926904978,1.4565074337149677
Murray St.,OVC,13,0.79444,106.303,94.5126,66.9672,0.048842830253932,2010,0.9882027715292414,-0.20720418107134259,-1.0336339333048712,-0.11064530730417182,0.9608102171373218
Wofford,SC,13,0.756184,103.474,93.7751,64.5387,-1.8519646624123,2010,0.4774763433932872,-0.9318188113670063,-1.2293971817290181,-0.876938909563346,-0.13971696227345903
Houston,CUSA,13,0.741424,111.343,101.597,72.6196,-6.3984671911926,2010,0.2804269373057018,1.0837317456484024,0.8468611950151338,1.6729239566076077,-2.7720453929469757
Sam Houston St.,Slnd,14,0.713709,109.166,100.83,70.236,-2.5139893583732,2010,0.6431661830887846,0.6486324464189278,0.19505377976691415,0.6550139488401111,0.09900337846571122
Ohio,MAC,14,0.695836,106.215,98.8398,70.1521,-7.7748813053596,2010,0.4184628951858621,-0.0528320108409768,-0.36996747798919116,0.6303251513857862,-2.5765478134608735
New Mexico St.,WAC,12,0.648489,109.955,104.253,71.6926,-2.331428865576,2010,-2.2573064841768202,0.15593456639261805,1.9339952235886912,1.6885725616695222,-1.9177133805710034
Montana,BSky,14,0.618631,104.226,99.933,63.107,-4.6397765195894,2010,-0.5521753492356171,-0.5256252353377427,-0.059606087687221705,-1.4427981733515833,-0.9821160268154211
UC Santa Barbara,BW,15,0.596857,99.433,96.0975,67.4429,-4.1268504433217,2010,0.3739721327850944,-1.2629034189845316,-1.6484331128240672,0.028183049891261813,0.2822047187419606
Oakland,Sum,14,0.580766,106.237,103.268,70.2959,-1.0558994956931,2010,-1.0282224592028388,-0.04760252318943092,0.8872062400268805,0.6726403966054751,0.8405495096810719
Vermont,AE,16,0.555567,102.15,100.187,67.9103,-5.0791599116599,2010,1.2658990357725848,0.3219332342590992,-0.862268451782609,0.08026319495842052,0.9912355921778409
East Tennessee St.,ASun,16,0.505375,97.8246,97.6419,68.5484,-8.1121684484251,2010,0.828823934175213,-0.6017065872549797,-1.422858380680657,0.3096402638344409,-0.07721543761246295
Morgan St.,MEAC,15,0.49372,102.999,103.224,70.042,-3.9103612608254,2010,-0.8828500257566643,-0.2916539989398163,0.4811662359947527,0.8931769287227632,0.4184375966806076
Lehigh,Pat,16,0.473764,104.341,105.298,70.5717,-6.7921107638515,2010,0.5535533524770437,0.7897962871414534,0.26349286470709127,1.0369535743764524,0.38780698991077817
North Texas,SB,15,0.472098,101.403,102.392,68.4917,-3.8633712683747,2010,-1.1463346017283318,-0.7263466726334116,0.23254115240290918,0.3772290966453214,0.44800758180438405
Robert Morris,NEC,15,0.462778,98.9584,100.25,67.2468,-6.5044549257282,2010,-1.2599076406727376,-1.3921672930039464,-0.4075489065558924,-0.037080041039775115,-1.2139804370387435
Winthrop,BSth,16,0.311399,89.5551,95.9533,65.2594,-8.706730709651,2010,-0.8603313078444669,-2.3675639655346026,-1.7947935321235284,-0.8726527616055184,-0.2866644558334237
Arkansas Pine Bluff,SWAC,16,0.30123,90.3756,97.2363,66.8738,-8.0186918393805,2010,-0.9488836012008517,-2.192355551618592,-1.5121968252058438,-0.29232626106727777,-0.04428602841880173
Ohio St.,B10,1,0.976933,124.94,90.2056,65.1768,11.961611437738,2011,1.1989803346604955,1.4563360149073739,-0.04582848716429049,-0.7256919861552638,1.6410989234339721
Kansas,B12,1,0.965751,119.724,89.5522,69.4342,10.237144000327,2011,0.46628875600564984,0.0864660388155605,-0.2653939184089529,0.3911661943450543,0.5596691363795979
Duke,ACC,1,0.963365,119.497,89.9267,69.924,9.4617790190898,2011,0.3099480202991164,0.026849381497146534,-0.13954871791748527,0.5196570894474778,0.07343044705552718
Texas,B12,4,0.950078,114.29,88.4604,66.9208,5.446066339042,2011,1.1759481599100343,-0.04783647486326427,-1.2021522588231588,-0.04166325517852734,0.41098868192273796
Kentucky,SEC,4,0.94792,118.16,91.8112,66.2714,5.2166027605102,2011,1.109370358340209,0.8609860961766684,-0.29106501963798276,-0.21697098131281375,0.23263794703352816
Pittsburgh,BE,1,0.946061,118.644,92.485,63.5859,7.6454599866331,2011,-0.8238826966605877,-0.19717268322798967,0.7201302578297082,-1.143038178516318,-1.0656003411635917
Wisconsin,B10,4,0.939792,122.126,96.1689,57.9255,5.8828480565813,2011,0.8586083698510792,1.7923531030873634,0.8937997476406507,-2.469974910392181,0.7504775925714036
Notre Dame,BE,2,0.936912,122.052,96.5283,64.483,7.8050448218701,2011,-0.20643336109089094,1.1596892265384047,1.1699437239399613,-0.9128377488928195,0.133207690938492
Purdue,B10,3,0.935826,114.271,90.5175,67.0363,7.2161674187876,2011,0.6488308039414973,-0.24660659868106785,-0.6192693449351253,-0.10708623280820415,0.9043430332699064
San Diego St.,MWC,2,0.932606,112.471,89.4983,63.5944,8.6644341916001,2011,-0.4913317776388285,-1.2505631976656284,-0.7273826712136126,-1.1856388231947135,0.8437579164268463
North Carolina,ACC,2,0.930156,111.601,89.1026,71.8192,7.432818593872,2011,-0.6534314340583542,-1.4694254885598481,-0.8341781270546195,1.3393828692633172,-0.17455202724352914
Illinois,B10,9,0.929812,113.865,90.9527,66.6219,1.5924982591178,2011,1.9385540953057252,0.8237550168605156,-1.1970894427531271,-0.14007143691051097,-0.013499615697133862
Connecticut,BE,3,0.926246,114.708,92.0522,65.6204,6.9592287723301,2011,0.2749612694333627,-0.14682534166095168,-0.23218475559920174,-0.6103642167976372,0.7076970157622567
Syracuse,BE,3,0.923824,113.911,91.691,66.3517,6.1579407643991,2011,0.18044018252535513,-0.3288062612148023,-0.3232872210114219,-0.35042552784257736,0.09443739986273617
Louisville,BE,4,0.923707,110.669,89.0941,68.0196,4.6961285293284,2011,0.36236002033734327,-0.8981844153634226,-1.0298483363355024,0.25496152073208767,-0.17190103129198456
BYU,MWC,3,0.919695,115.999,93.8372,71.4499,7.1697891195451,2011,0.019301632631403203,0.1479517814808569,0.21803091649607537,1.4617164440303954,0.8688477585397026
Florida,SEC,2,0.913298,115.195,93.8667,63.8692,5.256727062401,2011,-1.7688093964747964,-0.5652978179002847,0.4516046153566377,-1.1012749528164107,-1.973762469951012
Washington,P10,7,0.912665,117.253,95.6106,71.8396,1.8936368628731,2011,1.05402051111759,1.1955833545741863,0.15651846358857205,2.015827625740106,-0.6668074675727453
West Virginia,BE,5,0.909867,114.43,93.5893,63.5957,3.0829088978715,2011,0.2230074555421895,0.24432211250435076,0.1783467830453105,-1.067771300484272,-0.9522145409315668
Arizona,P10,5,0.907052,117.631,96.4915,66.3117,4.7206649357495,2011,0.11299337958701733,0.9491376633339987,0.9642175052324427,-0.12276602092167294,0.5583930453841639
Kansas St.,B12,5,0.903976,111.382,91.6514,68.2516,1.9715935311182,2011,-0.007220935737353761,-0.42680497244684346,-0.3464064636387357,0.5522029561856465,-1.9772520831420128
Clemson,ACC,12,0.900769,109.363,90.275,64.8425,0.6529901265827,2011,1.6660118969392372,-0.007818554577573626,-1.7685599691465164,-0.48748995433334835,0.14709624145160116
Cincinnati,BE,6,0.899749,110.265,91.1095,64.1312,3.3526424943277,2011,0.417633058885791,-0.6571397802473674,-0.9533776529570968,-1.0929917785895833,-0.03707300336498293
Utah St.,WAC,12,0.89716,109.323,90.555,63.3365,3.7343889794222,2011,1.609886734272961,-0.01888295464312887,-1.6943923161227745,-0.9658990504195842,2.2790026585295426
Michigan,B10,8,0.89071,111.885,93.2271,62.6617,1.8649819248314,2011,0.6891845074861827,-0.05467749426590881,-0.48431904850935753,-1.685767657408585,-0.22416561976279506
St. John's,BE,6,0.881051,111.104,93.3487,66.9443,3.235958996227,2011,-0.09641097792825622,-0.4359637339691197,-0.23413663486440475,-0.02274774258044479,-0.13418606505212688
UNLV,MWC,8,0.879774,108.904,91.5966,67.9355,2.8115830873897,2011,0.34444514477338817,-0.8258798146192458,-0.9655440509537278,0.13931646168418493,0.47671447487179236
Gonzaga,WCC,11,0.878621,110.476,93.0066,68.0864,0.34680984050593,2011,0.8810968516513752,-0.16163084158216434,-0.918707180425362,0.41243576298966694,-0.16147931740755778
Marquette,BE,11,0.877217,114.142,96.2028,67.5907,0.77156697729833,2011,0.8535609720966597,0.7280497276056315,0.006055195764893191,0.2332202975423289,0.20308313322938834
Florida St.,ACC,10,0.876184,102.553,86.5074,69.1098,1.1868645823819,2011,0.5905601491748195,-1.9188445531783282,-2.3338889293904437,0.6498609822634959,-0.16739234417400645
Vanderbilt,SEC,5,0.874418,115.782,97.8033,67.7417,1.8108788869117,2011,-1.1623882739551024,0.5420136541231195,1.3194325880541193,0.3747883052103259,-2.1254895221472334
Villanova,BE,9,0.872171,113.749,96.2562,66.3396,1.4904244600204,2011,0.37767086370037867,0.7904208991057469,0.5283244272860108,-0.2480216597874837,-0.09894594834247712
Belmont,ASun,13,0.868548,110.236,93.5443,69.3377,1.0275653152762,2011,1.9775616730427086,0.800186890315316,-1.2906611244222927,0.6373468624118533,1.5274697552668888
Georgetown,BE,6,0.864156,112.157,95.489,65.0346,4.3567472111877,2011,-0.560887071733654,-0.1583732968642393,0.45333726252028556,-0.7492932033058577,0.7986208599148364
Butler,Horz,8,0.863562,110.985,94.5327,64.7087,-0.40325961733798,2011,-0.16661141597092047,-0.287512814063965,-0.0989848791187555,-0.9773700708897787,-1.9036114197586995
Temple,A10,7,0.859166,108.982,93.1243,65.5319,2.140001479949,2011,-0.2835365653003821,-1.010937413985119,-0.682207033243751,-0.38653254114305863,-0.4600480561650941
Penn St.,B10,10,0.852169,112.175,96.3258,60.7893,1.7398356013516,2011,-0.02074865036957135,0.1446603059810383,0.24751674756578884,-2.348739738782166,0.3923574525073837
George Mason,CAA,8,0.849436,111.246,95.7072,65.7974,1.0553184653171,2011,-0.6119102672584972,-0.21999057132253028,0.2476564979869857,-0.6006077589977268,-0.82365463855174
UCLA,P10,7,0.846255,107.469,92.6558,66.588,1.4387575584925,2011,-0.6063313729347763,-1.414572515282452,-0.8402502682781186,0.01569530295943638,-1.0485610584558047
Michigan St.,B10,10,0.845402,107.808,93.001,66.5717,2.2700623350211,2011,-0.19300460067216854,-0.7918732338182689,-0.6266233969327114,-0.26483747216664477,0.9290841455618039
USC,P10,11,0.844243,106.756,92.1648,63.2707,-1.6036940324641,2011,0.20686005155733436,-1.0644163618709266,-1.162266709953228,-1.3286332645567256,-1.8355664846688562
Missouri,B12,11,0.842799,112.13,96.896,71.8524,1.3562823540705,2011,0.17853967400960633,0.23976895695482756,0.20662001623141313,1.773996067356576,0.704935255811503
Xavier,A10,6,0.840219,110.773,95.8847,65.8877,2.3616408941469,2011,-1.2189613101130445,-0.5232215066962959,0.5804378657979169,-0.4247312655434616,-0.8618614361505709
Richmond,A10,12,0.838294,111.082,96.2715,63.2978,1.7880480809923,2011,0.6944354110496468,0.46767403823958703,-0.18018021430056758,-0.9781928299803656,0.9324010501852434
Tennessee,SEC,9,0.837156,108.103,93.7585,67.1523,-1.0528048117865,2011,-0.5705140455597191,-0.8320310736823944,-0.284264659769096,0.06275108598693127,-2.227892027294892
Georgia,SEC,10,0.827071,108.507,94.7014,64.6303,0.22477364933454,2011,-0.6596255294436953,-0.6419678195018697,-0.17956255065466364,-0.9644929543898338,-1.141277386405808
Old Dominion,CAA,9,0.823706,108.587,94.9635,61.6215,2.2650699025964,2011,-0.9347318673374791,-0.6929473409814602,0.10776394650923958,-2.0522014208780255,0.549512448952877
Texas A&M,B12,7,0.814679,107.621,94.6189,62.7274,2.4016564685173,2011,-1.3957798158023782,-1.3740222605585954,-0.1780204396848149,-1.4546586549442542,-0.24045633041175482
VCU,CAA,11,0.800117,111.182,98.5495,66.5333,-2.0244714043339,2011,-0.6585589094336955,0.009704259848983262,0.6850301873817122,-0.14907228499552802,-2.1967131649102805
UAB,CUSA,12,0.796496,107.092,95.1095,63.1122,-0.2189615743667,2011,0.04441614002582829,-0.6359998682993746,-0.48797597434909634,-1.0371521448765182,-0.45617503741029075
Oakland,Sum,13,0.791753,116.517,103.742,72.6536,0.31393398965598,2011,0.9523307014643809,2.408990175181724,1.41623362602502,1.683652382581174,1.1142923698903344
Wofford,SC,14,0.724034,110.951,102.024,64.7575,-4.551399636663,2011,0.7729743544980417,1.072934058146793,0.534032466210885,-0.9571144999503522,-0.9371698699972911
Princeton,Ivy,13,0.724009,105.804,97.2931,63.8462,-0.26826887813606,2011,0.047932668537728026,-0.3350170833398239,-0.2955733065342536,-1.0954517032897122,0.7772092710451696
Memphis,CUSA,12,0.705934,103.461,95.8752,69.1158,-0.013665482305282,2011,-1.3639537633776617,-1.640370784249995,-0.2851539317766693,0.8700037975294058,-0.31413822978850325
Indiana St.,MVC,14,0.676891,102.247,95.8785,66.0937,-4.1785915612568,2011,0.18028218745236144,-0.9960414199928947,-1.2106857226847747,-0.5639181810174654,-0.7475694941362563
Bucknell,Pat,14,0.668094,102.856,96.7852,65.9927,-2.2332478828542,2011,0.06968436818967366,-0.8512796936386829,-0.9532720082804631,-0.5936389026251746,0.24178110456562926
Morehead St.,OVC,13,0.640539,103.622,98.5447,64.4798,-3.5607772095662,2011,-1.0664110933952509,-0.8939103754236498,0.03665351614732023,-0.8955243298528547,-1.1290831447600156
Akron,MAC,15,0.606451,101.536,97.7887,67.1231,-5.5692329649353,2011,0.49088412158687866,-0.6901222831589462,-1.143054817907572,-0.07824803873569139,-0.6254615200142475
LIU Brooklyn,NEC,15,0.590559,106.441,103.104,74.8988,-1.2495973966032,2011,0.29722502985892796,0.6458223061061534,0.44530684893823586,2.5095450064068916,2.0928100274801933
Northern Colorado,BSky,15,0.588319,104.507,101.312,67.4841,-4.5594972501065,2011,0.2699285054774409,0.11907065765789682,-0.09019333110573036,0.04189462228472907,0.009947606679253927
Saint Peter's,MAAC,14,0.583097,93.5699,90.8795,65.0543,-5.9057133579287,2011,-0.9989166144033254,-3.058622660958645,-2.6299105581398914,-0.8697767754635373,-1.6259381867939597
UC Santa Barbara,BW,15,0.557904,101.399,99.3678,65.728,-6.7514949371381,2011,-0.10070711463995338,-0.7274361279559532,-0.6711751670663751,-0.5425445107290059,-1.3694384203536463
UNC Asheville,BSth,16,0.486315,98.3945,98.8641,69.4327,-8.1123059004556,2011,0.6628482520655957,-0.48001094424372903,-1.153653629944266,0.6275185619179163,-0.07726385843349097
Boston University,AE,16,0.466685,101.607,102.793,63.7617,-7.5836391150031,2011,0.4919089740062158,0.20598177934576156,-0.2882645404595477,-1.411029248136813,0.10897187565220642
UTSA,Slnd,16,0.417214,101.432,104.423,67.9441,-9.2202517186312,2011,0.06111238588214043,0.16861252592065382,0.07076323216385375,0.09241324186017481,-0.467564721761797
Arkansas Little Rock,SB,16,0.358786,99.4369,104.586,65.3489,-11.102256219996,2011,-0.44768232315777073,-0.25741831698468337,0.10666600942619327,-0.8404803001348958,-1.130546583889301
Hampton,MEAC,16,0.34195,92.6943,98.1238,67.0833,-5.5557585567393,2011,-0.5942912730002428,-1.6972236206654578,-1.3167139121977023,-0.2170175384069977,0.8233421270065064
Alabama St.,SWAC,16,0.149487,91.0352,105.893,64.9885,-13.042398577024,2011,-2.270271215595376,-2.0515054969945843,0.3945490148364925,-0.9700328712411772,-1.8140089197774873
Kentucky,SEC,1,0.975218,122.356,88.906,66.3296,11.283203865622,2012,1.086606335609067,0.7777041095735444,-0.4825398958657914,-0.4232740525618113,1.2156631394153798
Ohio St.,B10,2,0.969384,116.866,86.5379,68.1404,7.9088819730054,2012,1.9420156361559309,-0.1449312798724218,-1.5263648988398788,0.2099876496574183,0.21906110471348011
Michigan St.,B10,1,0.955429,113.228,86.7366,65.7043,8.7462177841403,2012,-0.2100520126292401,-1.6195683485871317,-1.211534763545879,-0.5873111221974676,-0.37530474918429113
Kansas,B12,2,0.95264,113.024,87.0607,67.409,8.3240352951221,2012,0.8341802699973734,-1.111447281729419,-1.3852664295103916,-0.01455286997391481,0.5623132986927221
North Carolina,ACC,1,0.951197,115.295,89.0539,72.5574,8.4075066708627,2012,-0.4873504172855905,-1.0767153500093343,-0.4328402826409923,1.2104858423317566,-0.5877136814484296
Syracuse,BE,1,0.941736,116.506,91.4656,65.6832,10.88237280387,2012,-1.107274851702818,-0.7586723014956867,0.37757592570419823,-0.5928463567557806,0.9642982018402019
Wisconsin,B10,4,0.940578,113.063,88.924,58.5623,4.9520329203737,2012,0.8828577452143263,-0.33598254583639187,-1.0760987659002006,-2.2980685968684456,0.027000844536557458
Missouri,B12,2,0.938443,125.117,98.7266,66.5447,8.8380951097236,2012,-0.10513761660995329,1.9307385617002202,1.7632428156136606,-0.27989382036680915,0.9873421971702023
Wichita St.,MVC,5,0.93031,115.511,92.2058,66.7085,4.3942438375123,2012,1.021948043375786,0.4823432341684692,-0.1962835470993704,0.015296606077751981,0.25731390055040876
Florida,SEC,7,0.929625,120.649,96.3954,65.4962,3.0537900508591,2012,1.4780465305955042,2.101561414062447,0.4212619659470962,-0.40012929716470014,0.3068412370900498
Indiana,B10,4,0.923946,120.079,96.6408,67.6382,5.886551359656,2012,0.3697335581386384,1.3116399757181756,1.0221100222531285,0.15200130091746386,0.7533559876052313
Vanderbilt,SEC,5,0.921765,115.176,92.9418,65.98,4.0428398109399,2012,0.687997677820921,0.4085809069182574,0.0030138312790084377,-0.23817774817900428,-0.06680860373292134
Georgetown,BE,3,0.921215,110.469,89.2024,63.1095,4.7057032962444,2012,0.0786212247454272,-1.1147263679956774,-0.950966056628403,-1.502857111775444,-1.0170213803766592
Memphis,CUSA,8,0.919939,112.498,90.9789,68.2905,2.9845443533236,2012,1.6105805236467718,0.10390922910765504,-1.1478517381723032,0.2621699757116252,0.6047780281725771
Saint Louis,A10,9,0.919932,110.562,89.4139,62.2998,2.7970650364833,2012,1.6710097028028048,-0.12540524989811452,-1.697714852994705,-1.792822617557258,0.9948474279363506
Louisville,BE,4,0.916377,104.563,84.9115,66.9302,5.6024111841073,2012,0.13621762668265536,-2.3321044718930963,-2.167103167007557,-0.03912569338970352,0.5325078275403141
Baylor,B12,3,0.912672,115.341,94.0509,66.6462,7.0428410689287,2012,-0.25477829856386,-0.0022909350391360603,0.2719306863149898,-0.2457462663941076,0.7716890440829276
Duke,ACC,2,0.905106,115.974,95.3217,68.1871,8.0476973039791,2012,-2.310817717041627,-0.3693280195018954,0.8442945022625371,0.2243245956059877,0.33383476633742215
Marquette,BE,3,0.904281,110.131,90.5946,71.0253,6.1649064256858,2012,-0.5822458626617473,-1.1919027178190156,-0.5998230545605894,1.3107934748928056,0.09976851517069821
New Mexico,MWC,5,0.903028,109.511,90.1971,66.5154,2.8620677668008,2012,-0.044270081032379394,-0.8387730747905737,-0.7402083350730734,-0.051890624954478826,-1.1559105006779213
Florida St.,ACC,3,0.897833,107.05,88.6158,67.5268,4.3327559125293,2012,-0.8338858165770341,-1.895394829670228,-1.0989192853404992,0.0672607204701465,-1.3024537929724915
Michigan,B10,4,0.892528,113.897,94.7484,61.5955,6.3603038184673,2012,-0.5995627206939739,-0.1401277592091803,0.5075637970430215,-1.4792459992236693,1.1215804340519944
Cincinnati,BE,6,0.890109,109.587,91.3613,64.2616,3.0844148546634,2012,0.15261088994326197,-0.8358732240812788,-0.8724983709118386,-1.0433810920531694,-0.2603128593936047
Gonzaga,WCC,7,0.886241,112.105,93.7775,65.8447,2.0706316432542,2012,0.3933799722800692,-0.17778974620483612,-0.4618573189973318,-0.2673990598105481,-0.5182661021438436
Purdue,B10,10,0.878844,116.446,98.0149,65.325,1.9200461232901,2012,0.658271221703992,1.0606059777197263,0.6916066531457983,-0.714132048084875,0.5747771445969792
Iowa St.,B12,8,0.875187,112.717,95.1568,67.1224,1.9587287169897,2012,0.1998475353399989,0.16056582359184685,0.08521170108702869,-0.1420699953741679,-0.15475385147167836
Alabama,SEC,9,0.871999,104.287,88.2613,62.8555,1.5477388354371,2012,0.37301320828433426,-1.9286086025806457,-2.072695908261433,-1.5803254909092395,-0.050967885112535354
Kansas St.,B12,8,0.871014,108.162,91.6109,67.3845,2.1712414741348,2012,0.06830059307586978,-1.017839600497195,-0.9613235556854314,-0.0513660347358764,0.002594319257766898
Virginia,ACC,10,0.870239,103.304,87.5484,60.5409,2.0274116219788,2012,0.4392284476011618,-1.7577873769957577,-2.060194304022621,-2.4382598901081356,0.6834588186810396
Temple,A10,5,0.863976,112.863,96.1024,67.1286,4.2050135134893,2012,-1.5704760114769176,-0.10070943018545422,0.8588552634837653,0.1614662371323368,0.08277461849683768
UNLV,MWC,6,0.863929,107.882,91.8648,70.0109,2.7699348959853,2012,-0.5671277389898758,-1.2853430201532843,-0.7107719272669328,1.1439403811356132,-0.5220474844570404
California,P12,12,0.8571,109.038,93.3099,66.7663,1.8168921787609,2012,0.9868958735328739,-0.09771680511019672,-0.9646620757116858,0.12364113401373034,0.9523572194656454
Belmont,ASun,14,0.852585,115.309,98.9884,67.9164,0.79010852952339,2012,2.389145806588265,2.1088480211216063,-0.3277796783195307,-0.027562148597940317,1.7793806094156486
North Carolina St.,ACC,11,0.852378,111.441,95.6815,67.9751,0.50310478745227,2012,0.3664073308861208,0.0725594882776902,-0.1447734841387356,0.3721963413550316,-0.027333792952773116
Connecticut,BE,9,0.845694,109.819,94.7174,64.101,0.52204391593427,2012,-0.33931019705871523,-0.33891602137908877,0.027699017044428044,-1.1040520137811018,-0.9095806736974729
Creighton,MVC,8,0.84149,118.155,102.19,67.1229,4.7348287882847,2012,-0.8623948115265891,1.5674085669938715,2.1609870382178142,-0.14189696225581858,1.9007193062263399
VCU,CAA,12,0.840949,106.046,91.7492,65.9881,2.2042609938957,2012,0.7357244958041378,-0.9253339300135969,-1.3780672759765185,-0.12356866583640772,1.2203634407312747
South Florida,BE,12,0.838001,102.167,88.5619,59.5474,0.065353877057757,2012,0.6898788378545185,-1.9983041263706505,-2.2223335634142747,-2.169577606847443,-0.2594676443353368
St. Bonaventure,A10,14,0.833562,110.88,96.385,64.364,-1.0610046314792,2012,2.1499844656954497,1.0560570752713432,-1.066889487606155,-1.0729076083922666,0.8379531719734953
Texas,B12,11,0.82753,110.456,96.3756,65.7402,0.91845191126171,2012,-0.12092282237284431,-0.1664845271751137,0.05605173496947528,-0.43580979890773935,0.3291521897535822
Harvard,Ivy,12,0.827242,107.327,93.6617,61.3313,2.194329680395,2012,0.5225608480716285,-0.5709965179142479,-0.871475717376857,-1.6028883727782304,1.2134923305656289
West Virginia,BE,10,0.826137,110.291,96.3131,65.349,-0.12137972501802,2012,-0.683400770700179,-0.2593766047086569,0.24417772571932386,-0.705482758101689,-1.491674196125486
Murray St.,OVC,6,0.819571,105.476,92.4695,66.0564,3.7676239986501,2012,-1.7866146030928527,-1.9196094889798234,-0.5165395926650004,-0.36054934208722345,0.30830680684181516
Long Beach St.,BW,12,0.808021,107.957,95.2743,67.2683,0.89887260382625,2012,0.2236465361823313,-0.3967322168817813,-0.44432301285512293,0.2831108327091408,0.31721327469431104
Saint Mary's,WCC,7,0.80562,111.192,98.2603,64.6513,2.7616418442471,2012,-1.6222687138242191,-0.42135805253958036,1.0503651228640427,-0.7219191896769585,0.061658337208413586
Notre Dame,BE,7,0.804452,108.743,96.1588,61.9604,2.3129430709069,2012,-1.6514705057316619,-1.074697353978552,0.3414476022136272,-1.746779435577352,-0.3149082955178006
Ohio,MAC,13,0.802142,105.566,93.4678,66.8786,0.30790368439489,2012,1.0910262488792808,-0.39597794654603385,-1.3109674139198508,-0.1386023232235305,1.1108009511824546
Xavier,A10,10,0.797549,107.083,95.0485,67.5133,0.70959012742682,2012,-1.411116613355814,-0.9473545290677553,-0.08830471735478769,0.07450300484033484,-0.6505176255315922
