team,pake,pase,wins,loss,w_percent,r64,r32,s16,e8,f4,f2,champ,top2,f4_percent,champ_percent,from,to
Lehigh,0.5,0.9,1,2,0.333,2,1,0,0,0,0,0,0,0.6,0,2008,2023
Hawaii,0.4,0.8,1,1,0.5,1,1,0,0,0,0,0,0,0.6,0,2008,2023
Maryland,0.4,-0.3,8,8,0.5,8,7,1,0,0,0,0,0,20.9,2.8,2008,2023
Cleveland St.,0.4,0.7,1,2,0.333,2,1,0,0,0,0,0,0,1.2,0.1,2008,2023
Liberty,0.3,0.3,1,2,0.333,2,1,0,0,0,0,0,0,0.3,0,2008,2023
Rutgers,0.3,0.4,1,1,0.5,1,1,0,0,0,0,0,0,1.6,0.1,2008,2023
Georgia St.,0.3,0.6,1,4,0.2,4,1,0,0,0,0,0,0,0.2,0,2008,2023
Nevada,0.3,-0.3,2,3,0.4,3,1,1,0,0,0,0,0,3.3,0.2,2008,2023
UCF,0.2,0.4,1,1,0.5,1,1,0,0,0,0,0,0,2.4,0.1,2008,2023
Washington St.,0.2,0.4,2,1,0.667,1,1,1,0,0,0,0,0,12,1.5,2008,2023
Harvard,0.2,0.6,2,4,0.333,4,2,0,0,0,0,0,0,3.7,0.2,2008,2023
Stephen F. Austin,0.1,0.5,2,5,0.286,5,2,0,0,0,0,0,0,4.6,0.3,2008,2023
South Florida,0.1,0.5,1,1,0.5,1,1,0,0,0,0,0,0,3.5,0.3,2008,2023
North Dakota St.,0.1,0.2,1,4,0.2,4,1,0,0,0,0,0,0,1,0,2008,2023
Houston,0,2.1,12,6,0.667,6,5,4,2,1,0,0,2,77.8,32.4,2008,2023
Arkansas Pine Bluff,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
North Carolina A&T,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
UTSA,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
UT Arlington,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Mississippi Valley St.,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Lafayette,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Holy Cross,0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
UC Davis,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Texas A&M,-0,0.1,7,7,0.5,7,5,2,0,0,0,0,0,30,4,2008,2023
Gardner Webb,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Hartford,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Radford,-0,-0,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Texas A&M Corpus Chris,-0,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Bradley,-0,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Yale,-0.1,0.2,1,3,0.25,3,1,0,0,0,0,0,0,3,0.2,2008,2023
San Diego St.,-0.1,0.3,11,10,0.524,10,5,3,1,1,1,0,1,46.4,10.3,2008,2023
Howard,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Drexel,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Lipscomb,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
North Dakota,-0.1,-0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
Longwood,-0.1,-0.2,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
N.C. State,-0.1,0.2,4,6,0.4,6,2,2,0,0,0,0,0,9,0.5,2008,2023
Coastal Carolina,-0.1,-0,0,2,0,2,0,0,0,0,0,0,0,0,0,2008,2023
Boston University,-0.1,-0,0,1,0,1,0,0,0,0,0,0,0,0,0,2008,2023
