matchup,high_seed,low_seed,ev_high,ev_low,combined_ev,var_high,var_low,combined_var,sd_high,sd_low,combined_sd,cv,risk_adj_ev
1/16,1,16,8.750829467163303,0.00222208505647799,8.75305155221978,170.59417390362336,0.0033281899227187548,170.59750209354607,13.061170464534309,0.05769046648033586,13.061297871710378,1.492199353995353,2.222402616364591
2/15,2,15,4.7289346382743815,0.02296509393275825,4.75189973220714,89.00479576508195,0.07391976908138255,89.07871553416334,9.434235303673635,0.27188190282065955,9.438152124974641,1.9861850326944614,0.03282366971981965
3/14,3,14,2.849864318731788,0.0755796402787449,2.925443959010533,46.91811380967644,0.1937624745644889,47.11187628424093,6.849679832640095,0.4401845914664539,6.863809167236581,2.346245309569394,-0.5064606246077576
4/13,4,13,2.30067189566041,0.10426706484241924,2.4049389605028293,37.575972941754245,0.5625559102384396,38.13852885199268,6.1299243830372205,0.7500372725661303,6.175639954854288,2.567898834972125,-0.6828810169243149
5/12,5,12,1.401704798421899,0.3201245911038171,1.7218293895257162,20.17897923293584,3.2987932506401094,23.47777248357595,4.492101872501985,1.8162580352582365,4.845386721777318,2.814092238901786,-0.700863971362943
6/11,6,11,1.1896869569554478,0.5901480783335312,1.7798350352889791,16.263492591700203,6.046636525921513,22.310129117621717,4.032802076931151,2.4589909568604584,4.723359939452181,2.6538189471505054,-0.5818449344371115
7/10,7,10,0.9725381806449556,0.5077925450821221,1.4803307257270777,14.563635016208579,5.604474368727791,20.168109384936372,3.8162330924890555,2.3673771074182057,4.490891825120749,3.0337084457360075,-0.7651151868332968
8/9,8,9,0.6672071341370573,0.6036988054985336,1.270905939635591,9.180717884019186,7.419217263608392,16.599935147627576,3.0299699477089184,2.723824014801322,4.074301798790509,3.2058248149809887,-0.7662449597596632
