barthag_bucket,n,avg_wins,wins_vs_expected,avg_barthag_z
Very Weak (<-1.5σ),61,0.2622950819672131,-0.9811938501435583,-2.0529116942838823
Weak (-1.5 to -0.5σ),193,0.38341968911917124,-0.5512748455841457,-0.9370258384513288
Average (-0.5 to 0.5σ),378,0.8015873015873016,-0.16984052252413823,0.021058768124114145
Strong (0.5 to 1.5σ),262,1.6755725190839692,0.6530383404493898,0.9004969720590191
Very Strong (>1.5σ),64,1.765625,0.9273834745762712,1.7538863907110411
