matchup,year,total_ev_pct,high_seed_wins,low_seed_wins
1/16,2011,6,8,0
2/15,2011,3,6,0
3/14,2014,0,1,1
4/13,2009,1.5,4,1
5/12,2012,0,2,1
6/11,2008,0,2,0
7/10,2009,0,1,0
8/9,2008,0,1,1
