prob_bin,n_games,mean_pred_prob,actual_win_rate,mean_theoretical,calibration_error,theoretical_error
"(0.4,0.5]",3,0.4846375384088086,0.3333333333333333,0.3816606444851751,-0.15130420507547526,-0.0483273111518418
"(0.5,0.6]",69,0.5653272428859116,0.6811594202898551,0.48113021102513726,0.11583217740394347,0.20002920926471784
"(0.6,0.7]",113,0.642136039207271,0.5929203539823009,0.5809491758390403,-0.04921568522497011,0.011971178143260652
"(0.7,0.8]",80,0.7557053063327578,0.725,0.7323572345141482,-0.03070530633275781,-0.00735723451414827
"(0.8,0.9]",107,0.851548322924947,0.8411214953271028,0.8550073452149848,-0.01042682759784419,-0.013885849887881996
"(0.9,1]",106,0.9377833975059594,0.9528301886792453,0.9511873745069734,0.01504679117328589,0.0016428141722718559
