model,mae,rmse,r_squared
Seed + all metrics,0.7910252321081496,1.0270051815766044,0.47230617858108703
Seed + barthag,0.7912525407750038,1.0285466414496458,0.4707209299245928
Seed + barthag + adj_o,0.7921045572399074,1.0292990876404786,0.469946245184064
Seed + barthag + adj_d,0.7925723785566601,1.0291052234086213,0.47014589325174105
Seed + barthag + wab,0.7926084436536127,1.0287825040589158,0.47047815735391785
Seed only,0.8842474070592613,1.176844372058,0.3070932225737969
