metric,correlation,abs_correlation
barthag,0.37593028915762416,0.37593028915762416
adj_d,-0.1794182276117165,0.1794182276117165
adj_o,0.1422410754142866,0.1422410754142866
wab,0.09644104818942009,0.09644104818942009
adj_t,-0.039452218964385055,0.039452218964385055
