Region,Team,Seed,ev_dollars,sold_price,paid_vs_ev,paid_vs_ev_pct,good_buy,wins,low_wins,actual_payout,profit,roi,ev_accurate
West,Uconn,8,267.65279088725543,120,-147.65279088725543,-55.16579535666111,TRUE,0,2,311.4,191.4,159,Good buy -> Profit
West,Arkansas,7,311.7576508381226,210,-101.75765083812257,-32.63998511810681,TRUE,2,0,311.4,101.39999999999998,48,Good buy -> Profit
West,Mizzou,6,374.833258431859,185,-189.833258431859,-50.644721129080075,TRUE,0,0,0,-185,-100,Good buy -> Loss
West,Memphis,5,362.6172694341158,300,-62.617269434115826,-17.268143222145348,TRUE,0,0,0,-300,-100,Good buy -> Loss
West,Maryland,4,506.48014508189584,400,-106.48014508189584,-21.023557609485056,TRUE,2,0,311.4,-88.60000000000002,-22,Good buy -> Loss
West,Texas Tech,3,616.0984977676183,725,108.90150223238174,17.675988924981525,FALSE,3,1,622.8,-102.20000000000005,-14,Bad buy -> Loss
West,St John's,2,1000.7500836028238,820,-180.7500836028238,-18.06146075472721,TRUE,0,0,0,-820,-100,Good buy -> Loss
West,Florida,1,1843.3926568974855,1700,-143.3926568974855,-7.778736470547843,TRUE,6,0,8304,6604,388,Good buy -> Profit
Midwest,Gonzaga,8,267.65279088725543,325,57.347209112744565,21.425970909042814,FALSE,1,1,0,-325,-100,Bad buy -> Loss
Midwest,UCLA,7,311.7576508381226,250,-61.75765083812257,-19.809506092984286,TRUE,1,2,311.4,61.39999999999998,25,Good buy -> Profit
Midwest,Illinois,6,374.833258431859,350,-24.833258431859008,-6.625148082043375,TRUE,1,1,0,-350,-100,Good buy -> Loss
Midwest,Clemson,5,362.6172694341158,350,-12.617269434115826,-3.479500425836246,TRUE,1,1,0,-350,-100,Good buy -> Loss
Midwest,Purdue,4,506.48014508189584,325,-181.48014508189584,-35.8316405577066,TRUE,1,0,0,-325,-100,Good buy -> Loss
Midwest,Kentucky,3,616.0984977676183,425,-191.09849776761826,-31.017523733631524,TRUE,1,0,0,-425,-100,Good buy -> Loss
Midwest,Tennessee,2,1000.7500836028238,850,-150.7500836028238,-15.063709318924545,TRUE,1,0,0,-850,-100,Good buy -> Loss
Midwest,Houston,1,1843.3926568974855,1950,106.6073431025145,5.783214048489249,FALSE,5,0,4152,2202,113,Bad buy -> Profit
East,Baylor,8,267.65279088725543,200,-67.65279088725543,-25.27632559443519,TRUE,1,0,0,-200,-100,Good buy -> Loss
East,St Mary's,7,311.7576508381226,475,163.24234916187743,52.36193842332986,FALSE,0,0,0,-475,-100,Bad buy -> Loss
East,BYU,6,374.833258431859,550,175.166741568141,46.73191015678897,FALSE,2,2,622.8,72.79999999999995,13,Bad buy -> Profit
East,Oregon,5,362.6172694341158,350,-12.617269434115826,-3.479500425836246,TRUE,0,0,0,-350,-100,Good buy -> Loss
East,Arizona,4,506.48014508189584,475,-31.48014508189584,-6.215474661263498,TRUE,2,0,311.4,-163.60000000000002,-34,Good buy -> Loss
East,Wisconsin,3,616.0984977676183,550,-66.09849776761826,-10.728560125876086,TRUE,2,0,311.4,-238.6,-43,Good buy -> Loss
East,Alabama,2,1000.7500836028238,800,-200.7500836028238,-20.059961711928985,TRUE,2,0,311.4,-488.6,-61,Good buy -> Loss
East,Duke,1,1843.3926568974855,2100,256.6073431025145,13.920384359911498,FALSE,4,0,1660.8,-439.2000000000001,-21,Bad buy -> Loss
South,Louisville,8,267.65279088725543,350,82.34720911274457,30.766430209738417,FALSE,1,1,0,-350,-100,Bad buy -> Loss
South,Marquette,7,311.7576508381226,400,88.24234916187743,28.304790251225143,FALSE,1,0,0,-400,-100,Bad buy -> Loss
South,Ole Miss,6,374.833258431859,525,150.166741568141,40.06227787693493,FALSE,3,0,622.8,97.79999999999995,19,Bad buy -> Profit
South,Michigan,5,362.6172694341158,700,337.3827305658842,93.0409991483275,FALSE,3,1,622.8,-77.20000000000005,-11,Bad buy -> Loss
South,Texas A&M,4,506.48014508189584,625,118.51985491810416,23.400691235179604,FALSE,1,0,0,-625,-100,Bad buy -> Loss
South,Iowa St,3,616.0984977676183,625,8.901502232381745,1.4448180387771847,FALSE,2,0,311.4,-313.6,-50,Bad buy -> Loss
South,Michigan St,2,1000.7500836028238,1050,49.24991639717621,4.921300253093208,FALSE,3,0,622.8,-427.2000000000001,-41,Bad buy -> Loss
South,Auburn,1,1843.3926568974855,2000,156.6073431025145,8.495604152296664,FALSE,4,0,1660.8,-339.20000000000005,-17,Bad buy -> Loss
