seed,n_years,naive_mae,adj_mae,mae_improvement,avg_naive_ev,avg_adj_ev,avg_actual_ev
1,16,0.08358752899627522,0.05748973339190559,31.222116406303368,8.750829467163303,11.889624675191431,16.421875
2,16,0.037630788404314046,0.031629681733032884,15.947331761439223,4.7289346382743815,7.310943113035341,7.5546875
3,16,0.028282098007926332,0.023506319283640092,16.886225070529708,2.849864318731788,4.992817901002013,5.078125
4,16,0.026138105391273467,0.022433291332072152,14.173996178155335,2.30067189566041,4.311101467671328,4.5078125
5,16,0.01832599400197263,0.01848709183642662,-0.8790673752084073,1.401704798421899,3.142136309478531,2.7109375
6,16,0.00860195108858293,0.011978344794534319,-39.25148691478564,1.1896869569554478,2.4641685824295934,1.3984375
7,16,0.019287404548387614,0.01961010532747848,-1.6731166616082827,0.9725381806449557,1.8438021115675676,2.5
8,16,0.013880883917671323,0.017752538202556394,-27.891986618778564,0.6672071341370573,1.48227514152827,1.6328125000000002
9,15,0.009595662684995112,0.012485031853226273,-30.111199852296938,0.6036988054985336,1.2511433847143962,0.9583333333333335
10,15,0.012161471636611918,0.012992823859023542,-6.83595083927879,0.5077925450821221,1.3432149941394353,1.4500000000000002
11,15,0.01415303717666627,0.01276210715361992,9.827784705741736,0.5901480783335312,1.255462273746226,1.5833333333333335
12,15,0.009808920210433586,0.008290267670324866,15.482362049324808,0.3201245911038171,0.7323081262661264,1.2583333333333333
13,15,0.003985374857822258,0.0021618240892241182,45.75606645931894,0.10426706484241925,0.3752974409151704,0.475
14,15,0.0023003864268524967,0.002470422376230509,-7.391625484882723,0.0755796402787449,0.26906912461972127,0.22499999999999998
15,15,0.0032959301878655164,0.0030994548883227814,5.961148699875065,0.02296509393275825,0.12018363236444407,0.325
16,15,5.16295290414172e-4,7.40691982515934e-4,-43.4628586136726,0.00222208505647799,0.03627991417295127,0.04999999999999999
